topic,text
Car tires (Tayar kereta)," Weh, tayar kereta aku pancit la.  Alamak, rosak dah tu."
Car tires (Tayar kereta)," Ni tayar baru ke?  Ya, baru tukar, mahal gila kot."
Car tires (Tayar kereta)," Boss, ada tayar promo tak?  Ada, yang ni offer mantap."
Car tires (Tayar kereta)," Tayar belakang dah botak ni.  Kena tukar cepat la, bahaya."
Car tires (Tayar kereta), Rasa tayar kurang angin la.  Pergi pam cepat weh.
Car tires (Tayar kereta)," Brand apa tayar you pakai?  Michelin, tahan lama sikit kot."
Car tires (Tayar kereta)," Tayar ni boleh pakai lagi tak?  Hmm, rosak sikit je kot."
Car tires (Tayar kereta)," Minyak naik, tayar pun naik harga.  Betul la, semua mahal sekarang."
Car tires (Tayar kereta), Balance tayar kena buat bila?  Setiap 10 ribu km kot.
Car tires (Tayar kereta)," Tukar tayar ni berapa lama?  Kejap je, 20 minit settle la."
Car tires (Tayar kereta)," Tayar tu berapa harga satu?  Yang ni RM250, boss."
Car tires (Tayar kereta)," Weh, tayar spare aku mana?  Ada kat bonet belakang tu la."
Car tires (Tayar kereta)," Tayar ni grip dia mantap.  Betul, hujan pun steady je."
Car tires (Tayar kereta)," Kereta rasa senget la.  Check tayar kot, mungkin pancit."
Car tires (Tayar kereta)," Tu tayar sport ke?  Ha'ah, baru beli semalam."
Car tires (Tayar kereta), Tayar depan cepat botak.  Kena buat alignment kot.
Car tires (Tayar kereta)," Boss, check tayar ni kejap.  Boleh, apa masalah tu?"
Car tires (Tayar kereta), Tayar ni bunyi bising la.  Mungkin dah keras kot getah dia.
Car tires (Tayar kereta)," Weh, tayar kereta you cun la.  Rim baru, tu yang nampak mantap."
Car tires (Tayar kereta)," Harga tayar ni memang mahal eh?  Ya la, brand premium ni."
Car tires (Tayar kereta)," Tayar tu kena rotate tak?  Kena la, baru sekata botaknya."
Car tires (Tayar kereta)," Tayar ni ada warranty tak, boss?  Ada, enam bulan kot."
Car tires (Tayar kereta), Tayar you pakai berapa inci?  Ni 17 inci la.
Car tires (Tayar kereta)," Rasa jalan bergoyang ni.  Check tayar, kot-kot ada benjol."
Car tires (Tayar kereta)," Weh, tayar kereta aku kena paku.  Aduh, pergi kedai cepat la."
Car tires (Tayar kereta)," Tayar kereta baru tukar ke ni?  Ya, minggu lepas, mahal weh."
Car tires (Tayar kereta)," Tayar belakang ni dah lama.  Kena tukar la tu, bahaya."
Car tires (Tayar kereta)," Boss, ada tayar secondhand tak?  Ada, tapi yang ni rosak sikit."
Car tires (Tayar kereta)," Tayar ni elok untuk highway ke?  Ya, sesuai, grip mantap."
Car tires (Tayar kereta)," Weh, tayar kau nampak kempis la.  Oh ya ke? Kena pam ni."
Car tires (Tayar kereta)," Tayar tu boleh pakai lagi setahun?  Tak pasti la, tengok bunga dia."
Car tires (Tayar kereta), Tayar kereta aku cepat haus ni.  Mungkin alignment lari kot.
Car tires (Tayar kereta)," Minyak hitam pun kena servis, tayar pun kena.  Memang la, maintenance tu."
Car tires (Tayar kereta)," Boss, tayar ni tubeless ke?  Ya, semua tayar baru tubeless."
Car tires (Tayar kereta)," Tayar ni nampak macam baru.  Baru cuci la, tu yang berkilat."
Car tires (Tayar kereta)," Weh, jalan licin, tayar kau okay ke?  Okay je, tayar baru ni."
Car tires (Tayar kereta)," Tayar depan tu ada crack sikit.  Bahaya tu, kena tukar la."
Car tires (Tayar kereta)," Ni tayar performance ke?  Ya, untuk cornering mantap."
Car tires (Tayar kereta)," Boss, tayar ni bila expired?  Manufacturing date tengok tepi tayar tu."
Car tires (Tayar kereta)," Tayar ni buat bunyi ""whirring"".  Bearing rosak kot, bukan tayar."
Car tires (Tayar kereta)," Weh, tayar aku dah lama tak rotate.  Pergi buat cepat la."
Car tires (Tayar kereta)," Harga tayar tu kira sekali pasang ke?  Ya, siap pasang balancing."
Car tires (Tayar kereta)," Tayar tu ada jual kat online tak?  Ada, tapi mahal sikit kot."
Car tires (Tayar kereta)," Boss, tayar ni ada stock tak?  Ada, saiz ni banyak."
Car tires (Tayar kereta), Tayar ni nampak botak sangat.  Kena tukar empat-empat la ni.
Car tires (Tayar kereta)," Minyak naik, tayar pun nak kena tukar.  Double cost la ni."
Car tires (Tayar kereta)," Weh, tayar kau bengkak la.  Alamak, bahaya ni, kena tukar."
Car tires (Tayar kereta)," Tayar ni sesuai untuk off-road?  Tak sesuai, ni tayar jalan."
Car tires (Tayar kereta)," Tayar aku dah empat tahun.  Kena tukar la tu, dah keras."
Car tires (Tayar kereta)," Boss, nak beli tayar apa ni?  Yang ni berbaloi, harga mantap."
Car tires (Tayar kereta)," Tayar kereta you pakai nitrogen ke?  Ya, maintain pressure better kot."
Car tires (Tayar kereta)," Weh, tayar kereta aku senget ke?  Ha'ah, macam alignment lari."
Car tires (Tayar kereta), Tayar depan tu dah nipis sangat.  Kena tukar sepasang la tu.
Car tires (Tayar kereta)," Ni tayar murah punya ke?  Ya, bajet punya, tapi okay la."
Car tires (Tayar kereta)," Boss, ada tayar terpakai yang elok?  Ada, tapi ni bunga kurang sikit."
Car tires (Tayar kereta), Tayar tu bila last tukar?  Tiga tahun lepas kot.
Car tires (Tayar kereta)," Minyak banyak pakai, tayar pun selalu rosak.  Style pemanduan la tu."
